,,,,,,,,,,,,
,,,DTS UGRC Operations - FY26 - PRJ0398013,,,,NOTES,,,,,
New,Missing in Vantage,Notes,Task Name,Vantage,,Task #,,,,,,
TRUE,FALSE,,ApAdmin Auth Migration,ApAdmin Auth Mi,,PRJTASK0676127,Added 1/15/26,,,,,
,FALSE,,ArcGIS Enterprise Portal,ArcGIS Enterpri,,PRJTASK0643278,,,,,,
,FALSE,,Database Support,Database Suppor,,PRJTASK0642993,,,,,,
,FALSE,,Dependabot - GitHub Repository Security,Dependabot - Gi,,PRJTASK0642998,,,,,,
,FALSE,,Discover System Maintenance,Discover System,,PRJTASK0643003,,,,,,
,FALSE,,Forklift,Forklift,,PRJTASK0643007,,,,,,
,TRUE,,Mapserv Maintenance,Mapserv Mainten,,PRJTASK0643012,,,,,,
,FALSE,,Misc Operational Tasks,Misc Operationa,,PRJTASK0643026,Please use notes to describe activities,,,,,
,FALSE,,PI Planning,PI Planning,,PRJTASK0643062,,,,,,
,TRUE,,SGID Platform Maintenance,SGID Platform M,,PRJTASK0643066,,,,,,
,FALSE,,API Development and Maintenance-UGRC,API Development,,PRJTASK0643070,,,,,,
,FALSE,,Cloud Infrastructure Support-UGRC,Cloud Infrastru,,PRJTASK0662967,,,,,,
,FALSE,,GCVE Exit-UGRC,GCVE Exit-UGRC,,PRJTASK0643078,,,,,,
,FALSE,,Social Media-UGRC,Social Media-UG,,PRJTASK0643084,,,,,,
,FALSE,,Website-UGRC,Website-UGRC,,PRJTASK0643074,,,,,,
TRUE,FALSE,,Website Accessibility Compliance-UGRC,Website Accessi,,PRJTASK0674565,"Added 11/25, after SN UAT Phase 2",,,,,
,FALSE,,Misc Websites/Components,Misc Websites/C,,PRJTASK0643089,,,,,,
,,,,,,,,,,,,
,,,DTS UGRC General Activities and Tasks - PRJ0397937,,,,,,,,,
,Missing in Vantage,Notes,Task Name,Vantage,,Task #,,,,,,
,FALSE,,Conferences-Committees-Events,Conferences-Com,,PRJTASK0642858,Please use notes to describe activities,,,,,
